Rep,N,Crate,Model,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,nu
1,25,0.0,MVN,1.70412003355402,2.64699345641851,3.13571308481642,11.3808311894964,7.62532619102389,6.11392252439802,4.20658711041208,3.46452890408039,3.72349462620552,0.0,4
1,25,0.0,MVT,1.3625535229317,2.32460402424577,3.069659008356,6.75482732681422,4.2624843699188,3.46493766848729,2.23381734692225,1.83694460836896,2.16085690838884,5.72573929212853,4
1,25,0.0,MSL,1.32103274737458,2.29950345722565,3.02332162870663,4.05794943079678,2.50691556296651,2.03977830179997,1.35069071867551,1.09587622931204,1.32998816886301,3.00721621611614,4
1,25,0.0,MVNC,1.70412003355402,2.64699345641851,3.13571308481642,11.3808311894964,7.62532619102389,6.11392252439802,4.20658711041208,3.46452890408039,3.72349462620552,0.0,4
1,25,0.0,MVTC,1.36255352292036,2.32460402422851,3.06965900836097,6.75482732638234,4.26248436962399,3.46493766825302,2.23381734674227,1.83694460822425,2.16085690823633,5.72573929189397,4
1,25,0.0,MSLC,1.3396392000976,2.32542859022829,3.0256367860526,4.65476794293885,2.90051909570218,2.35336077519463,1.5954508219393,1.29201499799032,1.5493218347081,3.69525856675165,4
2,25,0.0,MVN,0.943669010090329,2.11213212440463,3.52971350175367,4.34707748962294,3.09081159129339,3.19874440548994,0.914536383679684,1.57080802575352,2.26394505452318,0.0,4
2,25,0.0,MVT,0.976614802603788,2.16348048217441,3.53156159374477,4.10955059079639,2.96099847513006,3.06044993906919,0.983831262455138,1.57686326902769,2.21196106452846,34.4710689476639,4
2,25,0.0,MSL,1.00085193291725,2.19003362141261,3.52915611067551,3.10204909581818,2.24334665687284,2.32150526264158,0.804794164203782,1.24046457008876,1.70019578291735,6.72614927228923,4
2,25,0.0,MVNC,0.943669010090329,2.11213212440463,3.52971350175367,4.34707748962294,3.09081159129339,3.19874440548994,0.914536383679684,1.57080802575352,2.26394505452317,0.0,4
2,25,0.0,MVTC,0.976614802630489,2.163480482218,3.53156159374548,4.10955059060586,2.96099847503142,3.06044993896561,0.983831262516106,1.57686326903987,2.21196106449771,34.4710694902111,4
2,25,0.0,MSLC,0.991368393675128,2.17577395072173,3.52843759565115,3.23099344329616,2.32873961013509,2.411867553826,0.809069665834879,1.27030693783862,1.75516274422386,7.54968742408271,4
3,25,0.0,MVN,0.419642115488988,1.29719190557562,3.2854081296577,12.6689036546005,7.2679716613763,5.26745573422812,3.86639711378836,3.14865307786803,3.13692989672795,0.0,4
3,25,0.0,MVT,0.799980383916041,1.49752115702585,3.38009653320099,7.85582113275272,5.1005427493297,4.17171715259761,2.86382830292835,2.5968091122707,2.83750696059345,9.29127274009024,4
3,25,0.0,MSL,0.858266054188495,1.50695507881289,3.38180894982878,5.12540501539187,3.46951426260461,2.92071134932469,2.00570908564705,1.84442678370244,2.00932884976539,4.16136396656452,4
3,25,0.0,MVNC,0.419642115488988,1.29719190557562,3.2854081296577,12.6689036546005,7.26797166137629,5.26745573422812,3.86639711378836,3.14865307786803,3.13692989672796,0.0,4
3,25,0.0,MVTC,0.799980383919746,1.49752115702709,3.38009653320117,7.85582113265995,5.10054274928734,4.17171715257289,2.86382830291284,2.59680911225903,2.83750696058143,9.29127274297559,4
3,25,0.0,MSLC,0.854342508146809,1.5039590406247,3.38001531072192,5.20380466945127,3.51782084525363,2.9574008468923,2.03296968346362,1.86700160015677,2.03043065306044,4.28290799897246,4
4,25,0.0,MVN,0.659276932342696,1.97585774952633,3.16484927161606,6.2855246359901,3.83049845291387,3.03275116932695,1.24589668852444,0.979286208484753,1.6555115700887,0.0,4
4,25,0.0,MVT,0.659030775911856,1.97571836184938,3.16476838348767,6.28386374315733,3.8294469398702,3.03184920674985,1.24587702378635,0.979060423712918,1.65490132466486,5399.29286112773,4
4,25,0.0,MSL,0.657218026184589,1.97461314120736,3.16402507390744,5.94209186234959,3.62079820150944,2.86617685416239,1.18019352107948,0.925952121079721,1.56354118089369,35.961955970979,4
4,25,0.0,MVNC,0.659276932342696,1.97585774952633,3.16484927161606,6.2855246359901,3.83049845291387,3.03275116932695,1.24589668852444,0.979286208484754,1.6555115700887,0.0,4
