Rep,N,Crate,Model,Squared_Error1,Squared_Error2,Squared_Error3,Squared_Error4,Squared_Error5,Squared_Error6,Squared_Error7,Squared_Error8,Squared_Error9,Squared_Error10,MSE,nu
1,25,0.0,MVN,0.495785021652114,0.418600532648367,0.0184180413903894,47.3458378583463,21.3936423733716,9.69651348795334,7.3256137862488,3.85937381496731,4.94392835276483,0.0,10.610857029927,4
1,25,0.0,MVT,0.131445056990184,0.105367772556548,0.0048523774451417,5.08424627374815,1.59386678428927,0.216167035578393,0.538487898644006,0.113531669108911,0.436731853365254,2.97817610439629,0.913855191302873,4
1,25,0.0,MSL,0.103062024886872,0.0897023208901161,0.0005438983655298,0.195408705732887,0.243132262044631,0.922025709694147,0.0222932614896363,0.163316022035052,0.0289040227265515,0.985619641542754,0.196487580873936,4
1,25,0.0,MVNC,0.495785021652114,0.418600532648367,0.0184180413903894,47.3458378583463,21.3936423733715,9.69651348795334,7.3256137862488,3.85937381496731,4.94392835276484,0.0,10.610857029927,4
1,25,0.0,MVTC,0.131445056981965,0.105367772545345,0.0048523774458332,5.08424627180052,1.59386678354489,0.216167035360554,0.538487898379872,0.113531669011395,0.436731853163676,2.97817610358669,0.913855190914895,4
1,25,0.0,MSLC,0.115354786242936,0.105903767337972,0.0006572447991066,0.0239531161615232,0.0098964503199116,0.418142287056886,0.0091108594088885,0.0432577610609681,0.0024326433789733,0.0928673411382602,0.0809676573074629,4
2,25,0.0,MVN,0.0031731804242035,0.0125736133234947,0.280596393940138,0.0233852941800206,0.0082467451132381,0.03949933871355,0.342767646034862,0.0050137765111108,0.583612046330422,0.0,0.144318670507893,4
2,25,0.0,MVT,0.0005468674572597,0.0267258680519785,0.282557727944475,0.152450741147445,0.0015211189421805,0.0036541951334693,0.266430165618656,0.0059079621256225,0.506888557404499,928.48604281329,0.138520355980621,4
2,25,0.0,MSL,7.25789695500618e-07,0.0361127772671927,0.280006189465232,1.95426673050276,0.572524281665505,0.460355108623078,0.483311154125119,0.0673586393792145,0.0400783514978888,7.43188985480312,0.432668217590631,4
2,25,0.0,MVNC,0.0031731804242035,0.0125736133234947,0.280596393940138,0.0233852941800206,0.0082467451132383,0.0394993387135502,0.342767646034862,0.0050137765111108,0.583612046330415,0.0,0.144318670507893,4
2,25,0.0,MVTC,0.0005468674560109,0.0267258680662311,0.282557727945239,0.15245074129623,0.0015211189498749,0.0036541951209457,0.266430165555717,0.0059079621274953,0.506888557360715,928.486075877275,0.138520355986495,4
