Rep,N,Crate,Model,MSE_R,MSE_C,nu
19,25,0.0,MSLCR,3.05557032632758,,4
20,25,0.0,MVNR,3.62552271884474,,4
20,25,0.0,MVTR,3.6268680135492,,4
20,25,0.0,MSLR,3.62828345336465,,4
20,25,0.0,MVNCR,3.62552271884473,,4
20,25,0.0,MVTCR,3.62686801354922,,4
20,25,0.0,MSLCR,3.62899500600032,,4
21,25,0.0,MVNR,4.5936894142737,,4
21,25,0.0,MVTR,4.61721717631306,,4
21,25,0.0,MSLR,4.61811452108732,,4
21,25,0.0,MVNCR,4.5936894142737,,4
21,25,0.0,MVTCR,4.61721717635293,,4
21,25,0.0,MSLCR,4.6178290219073,,4
22,25,0.0,MVNR,2.16335701736323,,4
22,25,0.0,MVTR,2.16335678933105,,4
22,25,0.0,MSLR,2.16335863973387,,4
22,25,0.0,MVNCR,2.16335701736323,,4
22,25,0.0,MVTCR,2.1633568237173,,4
22,25,0.0,MSLCR,2.16377864492047,,4
23,25,0.0,MVNR,3.03649827191993,,4
23,25,0.0,MVTR,3.03875827057716,,4
23,25,0.0,MSLR,3.03971387564942,,4
23,25,0.0,MVNCR,3.03649827191993,,4
23,25,0.0,MVTCR,3.03875827060251,,4
23,25,0.0,MSLCR,3.0423239829587,,4
24,25,0.0,MVNR,3.4511728182387,,4
24,25,0.0,MVTR,3.45117231304296,,4
24,25,0.0,MSLR,3.45115607224137,,4
24,25,0.0,MVNCR,3.4511728182387,,4
24,25,0.0,MVTCR,3.45117230354876,,4
24,25,0.0,MSLCR,3.44880639372784,,4
25,25,0.0,MVNR,2.80913174584721,,4
25,25,0.0,MVTR,2.80825445636123,,4
25,25,0.0,MSLR,2.80465996521507,,4
25,25,0.0,MVNCR,2.80913174584721,,4
25,25,0.0,MVTCR,2.80825445636142,,4
25,25,0.0,MSLCR,2.80468207297719,,4
26,25,0.0,MVNR,4.15168952348979,,4
26,25,0.0,MVTR,4.17112836341164,,4
26,25,0.0,MSLR,4.17493932520144,,4
26,25,0.0,MVNCR,4.1516895234898,,4
26,25,0.0,MVTCR,4.17112836341675,,4
26,25,0.0,MSLCR,4.19600312601199,,4
27,25,0.0,MVNR,5.29811022397802,,4
27,25,0.0,MVTR,5.32306679124504,,4
27,25,0.0,MSLR,5.32548151573002,,4
27,25,0.0,MVNCR,5.29811022397802,,4
27,25,0.0,MVTCR,5.32306679124465,,4
27,25,0.0,MSLCR,5.32518358736278,,4
28,25,0.0,MVNR,6.19913576054773,,4
28,25,0.0,MVTR,6.12710070814122,,4
28,25,0.0,MSLR,6.12646977401548,,4
28,25,0.0,MVNCR,6.19913576054764,,4
28,25,0.0,MVTCR,6.12710070813504,,4
28,25,0.0,MSLCR,6.12588772652667,,4
29,25,0.0,MVNR,3.1477149878479,,4
29,25,0.0,MVTR,3.1728384833019,,4
29,25,0.0,MSLR,3.16266972478697,,4
29,25,0.0,MVNCR,3.1477149878479,,4
29,25,0.0,MVTCR,3.17283847114326,,4
29,25,0.0,MSLCR,3.16175281916613,,4
30,25,0.0,MVNR,2.07150430475076,,4
30,25,0.0,MVTR,2.07150560671881,,4
30,25,0.0,MSLR,2.07148445800492,,4
30,25,0.0,MVNCR,2.07150430475075,,4
30,25,0.0,MVTCR,2.07141815844186,,4
30,25,0.0,MSLCR,2.07131511422529,,4
31,25,0.0,MVNR,3.54062860774776,,4
31,25,0.0,MVTR,3.54110637875425,,4
31,25,0.0,MSLR,3.54251431816854,,4
31,25,0.0,MVNCR,3.54062860774776,,4
31,25,0.0,MVTCR,3.5411063787551,,4
31,25,0.0,MSLCR,3.54299273854931,,4
32,25,0.0,MVNR,2.29366751214736,,4
32,25,0.0,MVTR,2.29366477889736,,4
32,25,0.0,MSLR,2.29366654117073,,4
32,25,0.0,MVNCR,2.29366751214736,,4
32,25,0.0,MVTCR,2.29366477889774,,4
32,25,0.0,MSLCR,2.29501838918767,,4
33,25,0.0,MVNR,4.37314664485187,,4
33,25,0.0,MVTR,4.37372445860491,,4
33,25,0.0,MSLR,4.37319003581683,,4
33,25,0.0,MVNCR,4.37314664485187,,4
33,25,0.0,MVTCR,4.37372445860508,,4
33,25,0.0,MSLCR,4.37366825914129,,4
34,25,0.0,MVNR,2.51049323244446,,4
34,25,0.0,MVTR,2.51520646596689,,4
34,25,0.0,MSLR,2.51539498792259,,4
34,25,0.0,MVNCR,2.51049323244446,,4
34,25,0.0,MVTCR,2.51520646596666,,4
34,25,0.0,MSLCR,2.51356043636771,,4
35,25,0.0,MVNR,6.06939015551584,,4
35,25,0.0,MVTR,6.08514688216881,,4
35,25,0.0,MSLR,6.10807557820727,,4
35,25,0.0,MVNCR,6.06939015551583,,4
35,25,0.0,MVTCR,6.08514688216828,,4
35,25,0.0,MSLCR,6.11062777007286,,4
36,25,0.0,MVNR,4.29709043858072,,4
36,25,0.0,MVTR,4.33834751913581,,4
