Rep,N,Crate,Model,Squared_Error1,Squared_Error2,Squared_Error3,Squared_Error4,Squared_Error5,Squared_Error6,Squared_Error7,Squared_Error8,Squared_Error9,Squared_Error10,Squared_Error11,Squared_Error12,Squared_Error13,Squared_Error14,Squared_Error15,Squared_Error16,Squared_Error17,Squared_Error18,Squared_Error19,MSE,nu
1,25,0.0,MVNR,0.182773492453326,0.431345752302133,0.191242788081738,1.08776535906621,0.331826373637546,0.0023782687831445,5.54605412927888,1.4655207921474,27.1822101380605,0.350883593523112,0.0208380515589329,0.391640820517339,0.360025082321959,1.6557946842921e-06,0.0016526890240149,1.25014874922424,0.0900337957911164,1.10188820637813,0.0,2.22156831877469,4
1,25,0.0,MVTR,0.182773072650499,0.431376051186433,0.191252506280727,1.08775110750313,0.331817996003186,0.0023790601527041,5.54594968059663,1.46546356195916,27.1813487490081,0.350875573669945,0.0208365349365302,0.391626639426817,0.360009683427712,1.6621358996144e-06,0.0016523994653334,1.25010813982234,0.0900341981366702,1.10186755824711,150114808379.29,2.22150689858939,4
1,25,0.0,MSLR,0.182610135109882,0.430992016899647,0.191119829775727,0.987200676726734,0.307394066493128,0.0092571389867475,5.24116863610352,1.3735543793142,25.3277721488856,0.32543181124959,0.0177422596316351,0.363344698565811,0.2882070658452,7.52804987616193e-05,0.0010319767056679,1.17119473030932,0.0817307646924083,0.999569962731492,6084.35174997933,2.07218875436251,4
1,25,0.0,MVNCR,0.182773492453312,0.431345752302067,0.191242788081712,1.08776535906621,0.331826373637548,0.0023782687831447,5.5460541292789,1.46552079214741,27.1822101380607,0.350883593523116,0.020838051558933,0.391640820517346,0.360025082321963,1.6557946842921e-06,0.001652689024015,1.25014874922424,0.0900337957911165,1.10188820637813,0.0,2.2215683187747,4
1,25,0.0,MVTCR,0.182770706195226,0.431371289642635,0.191250862602815,1.08772798392795,0.331805533571844,0.002380492116386,5.54578570496586,1.46537375748872,27.1799978324216,0.350864038403498,0.0208340506697026,0.391608377492035,0.35998600442935,1.67177035850041e-06,0.0016519260899314,1.25004296080185,0.0900351489266957,1.10183343002157,21119539678.1744,2.22140676508545,4
1,25,0.0,MSLCR,0.154045994354763,0.33378363448561,0.157659158815981,0.116288038146938,0.0421861614481332,0.587498550461141,1.50007149130375,0.143232528462438,3.01043864353576,0.0605815870800744,0.0037742522350332,0.0461245882881672,0.102056331932757,0.0168970666439906,0.0143655920781048,0.14743683712645,0.0193194223754737,0.0799763768843715,0.0658081566756345,0.363096458647719,4
2,25,0.0,MVNR,0.0507921224721157,0.208409539245059,0.0388239381228441,1.46438503321009,5.81241241708771,20.5969160946273,0.470284708157396,5.69153448580226,5.25297146349044,0.0109914148336741,0.962621006626444,0.0559993702668523,10.0993480251276,0.703685601129466,3.46170092209458,0.75576534143683,0.397609882591147,1.82498982380935,0.0,3.21440228834062,4
2,25,0.0,MVTR,0.0690053988182668,0.117954802491036,0.0219093278949156,0.815601660547708,4.0032860951239,10.9549312326899,0.336731684667634,2.79569786868566,2.03485568648024,0.125364667791683,0.0981882498761457,0.159003152261503,6.90398052024829,0.50637885125748,2.25801698767036,0.356554057360313,0.0281934921456745,1.15627242119052,100.404081318016,1.81899589762229,4
2,25,0.0,MSLR,0.0681933501210808,0.0697052483830748,0.0119759085530588,0.110850421617174,1.6166285547973,2.28896729120798,0.0839770211260421,0.84973084055807,0.105787704678826,0.126714664558461,0.0001817017585123,0.25280023508213,1.18704414590017,0.165300660540986,0.772651434314378,0.0617027506095872,0.0030529118816384,0.176845147569858,0.333898358413325,0.441783888514351,4
2,25,0.0,MVNCR,0.0507921224721179,0.208409539245202,0.0388239381228742,1.4643850332101,5.81241241708767,20.5969160946268,0.470284708157377,5.69153448580203,5.25297146349034,0.0109914148336767,0.962621006626411,0.0559993702668573,10.0993480251278,0.703685601129466,3.46170092209454,0.755765341436806,0.397609882591134,1.82498982380935,0.0,3.21440228834058,4
2,25,0.0,MVTCR,0.0690053988180186,0.117954802501924,0.0219093278971987,0.815601660560434,4.00328609514452,10.9549312328023,0.336731684662864,2.7956978687378,2.03485568656115,0.125364667779075,0.0981882498943832,0.159003152238263,6.90398052012458,0.506378851257537,2.25801698766062,0.356554057359586,0.0281934921518345,1.15627242118184,100.404081330613,1.81899589762966,4
2,25,0.0,MSLCR,0.08127361645541,0.0619906807053055,0.0101624130917917,0.0120940163207716,1.00472213056407,0.803099473415395,0.0455572372174655,0.459373423157011,0.0055452771890136,0.171348862234041,0.0210742792020264,0.342218186556202,0.535391277522009,0.0904799115100435,0.493981791503643,0.0262904746312004,0.0241162146348677,0.0519039359408233,0.606487185345955,0.235590177880616,4
3,25,0.0,MVNR,0.102167586974029,0.253078215984527,0.0212570495048922,0.0029601469254185,0.146013603358755,0.0025060422947131,0.175150717542994,0.336629815457545,0.195966674364696,0.0308997274922017,0.0004716694408854,0.0262462446603423,0.111289496503506,0.0006514595810325,0.0079263547407746,0.0189410991219362,0.0232829339968184,0.0402453616124872,0.0,0.0830935666420864,4
