Rep,N,Crate,Model,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,EST11,EST12,EST13,EST14,EST15,EST16,EST17,EST18,EST19,nu
1,25,0.0,MVNR,1.57247983386356,2.34323082266132,-1.06268685352286,2.04295990290433,0.876043725456276,1.95123250280008,2.65500618455215,1.51058696182777,7.21365612004288,0.892354280412586,0.444353910785032,0.925812128771358,2.6000209015709,0.29871322314122,0.340653278145987,1.41810050944637,0.600056321031763,2.04970862927678,0.0,4
1,25,0.0,MVTR,1.57248032483814,2.34320775645077,-1.06267574240533,2.04295307061398,0.876036453710341,1.9512243897762,2.65498400856495,1.5105633242252,7.21357351046364,0.892347510900438,0.444348657550149,0.92580079851884,2.60000806946883,0.298710761503982,0.34064971666978,1.41808234930274,0.600056991481069,2.04969879405814,387450.523251003,4
1,25,0.0,MSLR,1.57267092877984,2.34350017753266,-1.06282745994776,1.99357972841979,0.854431300066228,1.90378597302499,2.58935987474742,1.47198736312052,7.03267047886961,0.870466310354599,0.433200073692303,0.90278080474233,2.53684920214638,0.291323566472241,0.33212439424593,1.3822175060076,0.58588592951107,1.99978495824427,82.00225477497,4
1,25,0.0,MVNCR,1.57247983386358,2.34323082266136,-1.06268685352289,2.04295990290433,0.876043725456278,1.95123250280007,2.65500618455216,1.51058696182778,7.21365612004289,0.892354280412589,0.444353910785032,0.925812128771364,2.60002090157091,0.29871322314122,0.340653278145988,1.41810050944637,0.600056321031763,2.04970862927678,0.0,4
1,25,0.0,MVTCR,1.57248309250367,2.34321138130854,-1.0626776216533,2.04294198492915,0.876025636210615,1.95120971288887,2.65494919371223,1.51052623164008,7.21344395121129,0.8923377739124,0.444340052202092,0.925786207495847,2.5999883369111,0.298707030410837,0.340643893636454,1.41805320123948,0.600058575825947,2.04968253773299,145329.633245393,4
1,25,0.0,MSLCR,1.60751306473366,2.42225989018798,-1.102936832713,1.34101031970739,0.505392700571693,1.23351545973768,1.52477405724638,0.678460735694521,3.73506156764991,0.546133270973419,0.238565056889151,0.514766357440282,1.68053743265798,0.170011282628104,0.180143452084983,0.683975047531021,0.438994324975784,1.2828009492282,4.25653100529105,4
2,25,0.0,MVNR,2.22537107727505,2.54348106365118,-1.30296208963034,2.21011777658627,2.71089452632995,6.53838254168016,0.985773073368586,2.68569371164914,4.29193618224645,0.195160051346473,1.28113251226654,0.536641860766121,5.17794714007763,1.13885970288807,2.16056467828844,1.16934765280458,0.930563147187612,2.35092184222824,0.0,4
2,25,0.0,MVTR,2.26268878700521,2.65655451307225,-1.35198200144943,1.90310667174355,2.30082135512492,5.30982344433807,0.880285864611257,1.97203405129371,3.42648367900942,-0.0540687331460986,0.613350043683012,-0.0987519934263688,4.6275426771507,1.01160301521107,1.8026699530071,0.897121476217623,0.46790917826514,2.07530108397161,14.0201836968199,4
2,25,0.0,MSLR,2.26113856498243,2.735982484704,-1.39056550565266,1.3329420694613,1.57146708757927,3.51293333997502,0.589787889888522,1.22180846196923,2.32525021856845,-0.0559700332309739,0.28652032053377,-0.202792437375633,3.08951555560266,0.706571839335911,1.17900593531237,0.548400383674396,0.244746838265685,1.42052960367834,4.57783938807711,4
2,25,0.0,MVNCR,2.22537107727505,2.54348106365102,-1.30296208963026,2.21011777658627,2.71089452632994,6.5383825416801,0.985773073368572,2.68569371164909,4.29193618224643,0.195160051346461,1.28113251226652,0.536641860766132,5.17794714007766,1.13885970288807,2.16056467828843,1.16934765280456,0.930563147187602,2.35092184222824,0.0,4
